FIPS,State,County,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,PCT_OBESE_ADULTS07,PCT_OBESE_ADULTS12
1001,AL,Autauga,31.5,34.1,30.98,33.58
1003,AL,Baldwin,26.2,27.4,25.96,27.16
1005,AL,Barbour,37.6,44.4,36.24,43.04
1007,AL,Bibb,32.3,40.3,30.699999999999996,38.699999999999996
1009,AL,Blount,31.9,34.6,31.36,34.06
1011,AL,Bullock,37.8,43.0,36.76,41.96
1013,AL,Butler,36.8,36.3,36.9,36.4
1015,AL,Calhoun,33.5,32.2,33.76,32.46
1017,AL,Chambers,35.5,39.7,34.66,38.86
1019,AL,Cherokee,31.5,33.6,31.08,33.18
1021,AL,Chilton,34.8,35.9,34.58,35.68
1023,AL,Choctaw,36.5,40.8,35.64,39.94
1025,AL,Clarke,36.0,38.2,35.56,37.760000000000005
1027,AL,Clay,32.2,37.3,31.180000000000003,36.28
1029,AL,Cleburne,28.8,30.0,28.560000000000002,29.76
1031,AL,Coffee,32.7,33.7,32.5,33.5
1033,AL,Colbert,34.7,37.5,34.14,36.94
1035,AL,Conecuh,32.1,36.4,31.240000000000002,35.54
1037,AL,Coosa,33.2,39.7,31.900000000000002,38.400000000000006
1039,AL,Covington,33.8,34.0,33.76,33.96
1041,AL,Crenshaw,33.6,39.7,32.38,38.480000000000004
1043,AL,Cullman,30.1,33.4,29.44,32.74
1045,AL,Dale,34.4,36.5,33.98,36.08
1047,AL,Dallas,39.9,40.8,39.72,40.62
1049,AL,DeKalb,31.7,30.4,31.96,30.66
1051,AL,Elmore,29.0,35.4,27.72,34.12
1053,AL,Escambia,34.4,37.7,33.739999999999995,37.04
1055,AL,Etowah,30.8,35.1,29.94,34.24
1057,AL,Fayette,32.3,33.7,32.019999999999996,33.42
1059,AL,Franklin,29.5,33.2,28.759999999999998,32.46
1061,AL,Geneva,32.0,34.1,31.58,33.68
1063,AL,Greene,43.7,46.3,43.18000000000001,45.78
1065,AL,Hale,40.2,40.4,40.160000000000004,40.36
1067,AL,Henry,33.8,35.8,33.4,35.4
1069,AL,Houston,33.2,32.8,33.28,32.879999999999995
1071,AL,Jackson,31.6,32.0,31.520000000000003,31.92
1073,AL,Jefferson,31.4,33.2,31.04,32.84
1075,AL,Lamar,30.8,33.6,30.240000000000002,33.04
1077,AL,Lauderdale,29.1,32.9,28.340000000000003,32.14
1079,AL,Lawrence,32.8,35.5,32.26,34.96
1081,AL,Lee,30.1,29.0,30.32,29.22
1083,AL,Limestone,29.1,32.9,28.340000000000003,32.14
1085,AL,Lowndes,40.6,45.1,39.7,44.2
1087,AL,Macon,40.0,44.7,39.06,43.760000000000005
1089,AL,Madison,30.6,32.3,30.26,31.959999999999997
1091,AL,Marengo,37.6,40.3,37.06,39.76
1093,AL,Marion,28.6,35.5,27.220000000000002,34.12
1095,AL,Marshall,26.5,33.2,25.16,31.860000000000003
1097,AL,Mobile,30.3,37.1,28.94,35.74
1099,AL,Monroe,35.4,35.3,35.42,35.32
1101,AL,Montgomery,34.0,34.8,33.84,34.64
1103,AL,Morgan,34.8,31.6,35.44,32.24
1105,AL,Perry,40.7,43.0,40.24,42.54
1107,AL,Pickens,34.8,36.4,34.48,36.08
1109,AL,Pike,35.1,38.4,34.440000000000005,37.74
1111,AL,Randolph,31.9,30.9,32.1,31.099999999999998
1113,AL,Russell,36.7,36.4,36.760000000000005,36.46
1115,AL,St. Clair,33.7,33.0,33.84,33.14
1117,AL,Shelby,28.4,30.1,28.06,29.76
1119,AL,Sumter,40.8,40.3,40.9,40.4
1121,AL,Talladega,34.0,39.0,33.0,38.0
1123,AL,Tallapoosa,33.9,36.9,33.3,36.3
1125,AL,Tuscaloosa,33.1,34.3,32.86,34.059999999999995
1127,AL,Walker,33.1,33.2,33.08,33.18
1129,AL,Washington,34.9,40.2,33.839999999999996,39.14
1131,AL,Wilcox,40.8,44.9,39.98,44.08
1133,AL,Winston,29.3,30.2,29.12,30.02
2013,AK,Aleutians East,28.4,33.4,27.4,32.4
2016,AK,Aleutians West,30.0,39.4,28.12,37.519999999999996
2020,AK,Anchorage,26.5,27.0,26.4,26.9
2050,AK,Bethel,31.9,30.3,32.22,30.62
2060,AK,Bristol Bay,32.6,39.7,31.18,38.28
2068,AK,Denali,29.8,27.0,30.36,27.56
2070,AK,Dillingham,38.5,38.0,38.6,38.1
2090,AK,Fairbanks North Star,25.5,28.1,24.98,27.580000000000002
2100,AK,Haines,29.4,25.5,30.18,26.28
2105,AK,Hoonah-Angoon,,31.8,,
2110,AK,Juneau,26.7,28.6,26.32,28.220000000000002
2122,AK,Kenai Peninsula,29.9,28.4,30.2,28.7
2130,AK,Ketchikan Gateway,34.0,30.8,34.64,31.44
2150,AK,Kodiak Island,26.2,30.2,25.4,29.4
2164,AK,Lake and Peninsula,34.3,31.9,34.779999999999994,32.379999999999995
2170,AK,Matanuska-Susitna,27.9,30.2,27.439999999999998,29.74
2180,AK,Nome,33.0,31.7,33.26,31.96
