FIPS,State,County,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,PCT_OBESE_ADULTS09,PCT_OBESE_ADULTS14
1001,AL,Autauga,31.5,34.1,32.02,34.620000000000005
1003,AL,Baldwin,26.2,27.4,26.439999999999998,27.639999999999997
1005,AL,Barbour,37.6,44.4,38.96,45.76
1007,AL,Bibb,32.3,40.3,33.9,41.9
1009,AL,Blount,31.9,34.6,32.44,35.14
1011,AL,Bullock,37.8,43.0,38.839999999999996,44.04
1013,AL,Butler,36.8,36.3,36.699999999999996,36.199999999999996
1015,AL,Calhoun,33.5,32.2,33.24,31.940000000000005
1017,AL,Chambers,35.5,39.7,36.34,40.540000000000006
1019,AL,Cherokee,31.5,33.6,31.92,34.02
1021,AL,Chilton,34.8,35.9,35.019999999999996,36.12
1023,AL,Choctaw,36.5,40.8,37.36,41.66
1025,AL,Clarke,36.0,38.2,36.44,38.64
1027,AL,Clay,32.2,37.3,33.22,38.31999999999999
1029,AL,Cleburne,28.8,30.0,29.04,30.24
1031,AL,Coffee,32.7,33.7,32.900000000000006,33.900000000000006
1033,AL,Colbert,34.7,37.5,35.260000000000005,38.06
1035,AL,Conecuh,32.1,36.4,32.96,37.26
1037,AL,Coosa,33.2,39.7,34.5,41.0
1039,AL,Covington,33.8,34.0,33.839999999999996,34.04
1041,AL,Crenshaw,33.6,39.7,34.82,40.92
1043,AL,Cullman,30.1,33.4,30.76,34.059999999999995
1045,AL,Dale,34.4,36.5,34.82,36.92
1047,AL,Dallas,39.9,40.8,40.08,40.98
1049,AL,DeKalb,31.7,30.4,31.439999999999998,30.139999999999997
1051,AL,Elmore,29.0,35.4,30.28,36.68
1053,AL,Escambia,34.4,37.7,35.06,38.36000000000001
1055,AL,Etowah,30.8,35.1,31.66,35.96
1057,AL,Fayette,32.3,33.7,32.58,33.980000000000004
1059,AL,Franklin,29.5,33.2,30.240000000000002,33.940000000000005
1061,AL,Geneva,32.0,34.1,32.42,34.52
1063,AL,Greene,43.7,46.3,44.22,46.81999999999999
1065,AL,Hale,40.2,40.4,40.24,40.44
1067,AL,Henry,33.8,35.8,34.199999999999996,36.199999999999996
1069,AL,Houston,33.2,32.8,33.120000000000005,32.72
1071,AL,Jackson,31.6,32.0,31.68,32.08
1073,AL,Jefferson,31.4,33.2,31.759999999999998,33.56
1075,AL,Lamar,30.8,33.6,31.36,34.160000000000004
1077,AL,Lauderdale,29.1,32.9,29.86,33.66
1079,AL,Lawrence,32.8,35.5,33.339999999999996,36.04
1081,AL,Lee,30.1,29.0,29.880000000000003,28.78
1083,AL,Limestone,29.1,32.9,29.86,33.66
1085,AL,Lowndes,40.6,45.1,41.5,46.0
1087,AL,Macon,40.0,44.7,40.94,45.64
1089,AL,Madison,30.6,32.3,30.94,32.63999999999999
