FIPS ,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016"
20001.0,KS,Allen ,13371.0,13344.0,13336.0,13080.0,12903.0,12724.0,12714.0
20003.0,KS,Anderson ,8102.0,8046.0,7912.0,7845.0,7880.0,7824.0,7827.0
20005.0,KS,Atchison ,16924.0,16778.0,16793.0,16696.0,16509.0,16409.0,16380.0
20007.0,KS,Barber ,4861.0,4914.0,4866.0,4914.0,4878.0,4821.0,4688.0
20009.0,KS,Barton ,27674.0,27676.0,27515.0,27425.0,27262.0,27092.0,26775.0
20011.0,KS,Bourbon ,15173.0,14925.0,14844.0,14796.0,14774.0,14724.0,14617.0
20013.0,KS,Brown ,9984.0,9989.0,9879.0,9940.0,9804.0,9745.0,9684.0
20015.0,KS,Butler ,65880.0,65870.0,65781.0,65835.0,66077.0,66601.0,67025.0
20017.0,KS,Chase ,2790.0,2789.0,2752.0,2701.0,2673.0,2676.0,2669.0
20019.0,KS,Chautauqua ,3669.0,3614.0,3565.0,3546.0,3473.0,3392.0,3374.0
20021.0,KS,Cherokee ,21603.0,21373.0,21201.0,20908.0,20769.0,20561.0,20246.0
20023.0,KS,Cheyenne ,2726.0,2705.0,2677.0,2678.0,2694.0,2687.0,2661.0
20025.0,KS,Clark ,2215.0,2137.0,2179.0,2194.0,2120.0,2089.0,2072.0
20027.0,KS,Clay ,8535.0,8513.0,8508.0,8401.0,8338.0,8340.0,8143.0
20029.0,KS,Cloud ,9533.0,9405.0,9407.0,9370.0,9348.0,9235.0,9150.0
20031.0,KS,Coffey ,8601.0,8515.0,8507.0,8424.0,8440.0,8359.0,8433.0
20033.0,KS,Comanche ,1891.0,1885.0,1910.0,1922.0,1945.0,1839.0,1862.0
20035.0,KS,Cowley ,36311.0,36240.0,36262.0,36181.0,35911.0,35777.0,35753.0
20037.0,KS,Crawford ,39134.0,39198.0,39369.0,39312.0,39327.0,39231.0,39164.0
20039.0,KS,Decatur ,2961.0,2918.0,2877.0,2905.0,2890.0,2926.0,2832.0
20041.0,KS,Dickinson ,19754.0,19707.0,19731.0,19477.0,19354.0,19292.0,19064.0
20043.0,KS,Doniphan ,7945.0,7951.0,7869.0,7844.0,7833.0,7756.0,7664.0
20045.0,KS,Douglas ,110826.0,112424.0,113304.0,114672.0,116430.0,117915.0,119440.0
20047.0,KS,Edwards ,3037.0,3028.0,2980.0,2965.0,3022.0,2970.0,2938.0
20049.0,KS,Elk ,2882.0,2799.0,2678.0,2647.0,2699.0,2602.0,2547.0
20051.0,KS,Ellis ,28452.0,28779.0,29125.0,29089.0,29027.0,29024.0,28893.0
