FIPS ,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016"
1001.0,AL,Autauga ,54571.0,55255.0,55027.0,54792.0,54977.0,55035.0,55416.0
1003.0,AL,Baldwin ,182265.0,186653.0,190403.0,195147.0,199745.0,203690.0,208563.0
1005.0,AL,Barbour ,27457.0,27326.0,27132.0,26938.0,26763.0,26270.0,25965.0
1007.0,AL,Bibb ,22915.0,22736.0,22645.0,22501.0,22511.0,22561.0,22643.0
1009.0,AL,Blount ,57322.0,57707.0,57772.0,57746.0,57621.0,57676.0,57704.0
1011.0,AL,Bullock ,10914.0,10722.0,10654.0,10576.0,10712.0,10455.0,10362.0
1013.0,AL,Butler ,20947.0,20848.0,20665.0,20330.0,20283.0,20126.0,19998.0
1015.0,AL,Calhoun ,118572.0,117736.0,117208.0,116475.0,115837.0,115285.0,114611.0
1017.0,AL,Chambers ,34215.0,34006.0,34084.0,34123.0,33996.0,34043.0,33843.0
1019.0,AL,Cherokee ,25989.0,26073.0,26017.0,26074.0,25944.0,25726.0,25725.0
1021.0,AL,Chilton ,43643.0,43758.0,43693.0,43769.0,43874.0,43809.0,43941.0
1023.0,AL,Choctaw ,13859.0,13610.0,13549.0,13384.0,13310.0,13201.0,12993.0
1025.0,AL,Clarke ,25833.0,25549.0,25148.0,25105.0,24862.0,24726.0,24392.0
1027.0,AL,Clay ,13932.0,13676.0,13461.0,13464.0,13503.0,13495.0,13492.0
1029.0,AL,Cleburne ,14972.0,14976.0,14928.0,15031.0,15076.0,14996.0,14924.0
1031.0,AL,Coffee ,49948.0,50484.0,51180.0,50729.0,50757.0,51063.0,51226.0
1033.0,AL,Colbert ,54428.0,54460.0,54493.0,54456.0,54427.0,54295.0,54216.0
1035.0,AL,Conecuh ,13228.0,13193.0,13007.0,12866.0,12621.0,12597.0,12395.0
1037.0,AL,Coosa ,11539.0,11369.0,11201.0,11058.0,10794.0,10687.0,10581.0
1039.0,AL,Covington ,37765.0,38066.0,37842.0,37890.0,37795.0,37661.0,37458.0
1041.0,AL,Crenshaw ,13906.0,13903.0,13920.0,13874.0,13898.0,13876.0,13913.0
1043.0,AL,Cullman ,80406.0,80457.0,80351.0,80731.0,81167.0,81858.0,82471.0
1045.0,AL,Dale ,50251.0,50119.0,50296.0,49753.0,49389.0,49370.0,49226.0
1047.0,AL,Dallas ,43820.0,43207.0,42748.0,41950.0,41532.0,40893.0,40008.0
1049.0,AL,DeKalb ,71109.0,71389.0,70961.0,70882.0,70947.0,70996.0,70900.0
1051.0,AL,Elmore ,79303.0,80030.0,80291.0,80661.0,80794.0,81238.0,81799.0
1053.0,AL,Escambia ,38319.0,38227.0,38063.0,37877.0,37878.0,37827.0,37728.0
1055.0,AL,Etowah ,104430.0,104236.0,104215.0,103790.0,103371.0,102873.0,102564.0
1057.0,AL,Fayette ,17241.0,17063.0,16966.0,16858.0,16821.0,16723.0,16546.0
1059.0,AL,Franklin ,31704.0,31734.0,31652.0,31505.0,31540.0,31542.0,31628.0
1061.0,AL,Geneva ,26790.0,26843.0,27012.0,26754.0,26688.0,26755.0,26614.0
1063.0,AL,Greene ,9045.0,8926.0,8837.0,8702.0,8525.0,8450.0,8422.0
1065.0,AL,Hale ,15760.0,15377.0,15393.0,15293.0,15081.0,15075.0,14952.0
1067.0,AL,Henry ,17302.0,17405.0,17237.0,17188.0,17156.0,17191.0,17164.0
1069.0,AL,Houston ,101547.0,102480.0,103382.0,103614.0,104177.0,104225.0,104056.0
1071.0,AL,Jackson ,53227.0,53275.0,53087.0,52939.0,52580.0,52298.0,52138.0
1073.0,AL,Jefferson ,658466.0,657669.0,657639.0,658578.0,659733.0,660007.0,659521.0
1075.0,AL,Lamar ,14564.0,14301.0,14257.0,14192.0,14062.0,13902.0,13918.0
1077.0,AL,Lauderdale ,92709.0,92593.0,92694.0,92713.0,93005.0,92477.0,92318.0
1079.0,AL,Lawrence ,34339.0,34052.0,33788.0,33570.0,33432.0,33133.0,33244.0
1081.0,AL,Lee ,140247.0,144123.0,148289.0,151411.0,154277.0,156767.0,158991.0
1083.0,AL,Limestone ,82782.0,85571.0,87368.0,88904.0,90640.0,91622.0,92753.0
1085.0,AL,Lowndes ,11299.0,11117.0,10835.0,10685.0,10524.0,10422.0,10358.0
1087.0,AL,Macon ,21452.0,21317.0,20632.0,20016.0,19594.0,19215.0,18963.0
1089.0,AL,Madison ,334811.0,339594.0,342773.0,346704.0,350121.0,353302.0,356967.0
1091.0,AL,Marengo ,21027.0,20728.0,20451.0,20208.0,20086.0,19912.0,19673.0
1093.0,AL,Marion ,30776.0,30725.0,30520.0,30283.0,30250.0,30145.0,29998.0
1095.0,AL,Marshall ,93019.0,93885.0,94182.0,94318.0,94320.0,94693.0,95157.0
1097.0,AL,Mobile ,412992.0,413178.0,413760.0,413884.0,414342.0,414634.0,414836.0
1099.0,AL,Monroe ,23068.0,22795.0,22593.0,22154.0,21902.0,21697.0,21530.0
1101.0,AL,Montgomery ,229363.0,229174.0,228708.0,227841.0,227193.0,226868.0,226349.0
1103.0,AL,Morgan ,119490.0,119988.0,120123.0,119652.0,119602.0,119387.0,119012.0
1105.0,AL,Perry ,10591.0,10518.0,10184.0,9995.0,9842.0,9683.0,9574.0
1107.0,AL,Pickens ,19746.0,19366.0,19359.0,19370.0,20332.0,20827.0,20324.0
1109.0,AL,Pike ,32899.0,32999.0,33113.0,33592.0,33020.0,33376.0,33286.0
1111.0,AL,Randolph ,22913.0,22807.0,22623.0,22629.0,22468.0,22703.0,22652.0
1113.0,AL,Russell ,52947.0,54891.0,57626.0,59240.0,59282.0,58858.0,58172.0
1115.0,AL,St. Clair ,83593.0,84351.0,85168.0,86225.0,86482.0,86986.0,88019.0
1117.0,AL,Shelby ,195085.0,197975.0,200789.0,203825.0,205990.0,208527.0,210622.0
1119.0,AL,Sumter ,13763.0,13512.0,13448.0,13409.0,13283.0,13244.0,13040.0
1121.0,AL,Talladega ,82291.0,81847.0,81941.0,81277.0,81216.0,80749.0,80103.0
1123.0,AL,Tallapoosa ,41616.0,41459.0,41144.0,41139.0,41027.0,40755.0,40727.0
1125.0,AL,Tuscaloosa ,194656.0,196696.0,198581.0,200681.0,202671.0,204321.0,206102.0
1127.0,AL,Walker ,67023.0,66661.0,66211.0,65934.0,65564.0,65291.0,64967.0
1129.0,AL,Washington ,17581.0,17336.0,17115.0,16881.0,16891.0,16901.0,16756.0
1131.0,AL,Wilcox ,11670.0,11482.0,11355.0,11194.0,11028.0,11030.0,10986.0
1133.0,AL,Winston ,24484.0,24334.0,24171.0,24150.0,24083.0,23854.0,23805.0
2013.0,AK,Aleutians East ,3141.0,3251.0,3285.0,3302.0,3296.0,3317.0,3296.0
2016.0,AK,Aleutians West ,5561.0,5586.0,5688.0,5715.0,5780.0,5739.0,5647.0
2020.0,AK,Anchorage Municipality,291826.0,296397.0,298527.0,301143.0,300429.0,298312.0,298192.0
2050.0,AK,Bethel ,17013.0,17466.0,17695.0,17865.0,17959.0,17940.0,17968.0
2060.0,AK,Bristol Bay ,997.0,1037.0,983.0,954.0,942.0,892.0,898.0
2068.0,AK,Denali Borough,1826.0,1875.0,1913.0,1940.0,1907.0,1913.0,1953.0
2070.0,AK,Dillingham ,4847.0,4963.0,4963.0,4994.0,4989.0,4999.0,4954.0
2090.0,AK,Fairbanks North Star Borough,97581.0,98100.0,100330.0,100879.0,99295.0,99639.0,100605.0
2100.0,AK,Haines ,2508.0,2572.0,2572.0,2551.0,2537.0,2484.0,2496.0
2105.0,AK,Hoonah-Angoon Census Area,2150.0,2111.0,2131.0,2128.0,2081.0,2118.0,2078.0
2110.0,AK,Juneau ,31275.0,32175.0,32434.0,32604.0,32511.0,32603.0,32468.0
2122.0,AK,Kenai Peninsula ,55400.0,56369.0,56952.0,57059.0,57626.0,58044.0,58506.0
2130.0,AK,Ketchikan Gateway Borough,13477.0,13639.0,13711.0,13673.0,13758.0,13689.0,13746.0
2150.0,AK,Kodiak Island ,13592.0,13807.0,14051.0,14066.0,13953.0,13789.0,13732.0
2158.0,AK,Kusilvak ,7459.0,7657.0,7792.0,7950.0,8063.0,8109.0,8049.0
