FIPS,State,County,Fast Food Restaurant Count 2009,Fast Food Restaurant Count 2014,% Cng Fast Food Restautant Count 09_14,Fast Food Restaurant Count 2009 (per thou),Fast Food Restaurant Count 2014 (per thou),% Cng Fast Food Restaurant Count 09_14 (per thou),Full Service Restaurant Count 2009,Full Service Restaurant Count 2014,% Cng Full Service Restaurant Count 09_14,Full Service Restaurant Count 2009 (per thou),Full Service Restaurant Count 2014 (per thou),% Cng Full Service Restaurant Count 09_14 (per thou),Fast Food Expenditures per capita 2007,Fast Food Expenditures per capita 2012,Full Service Expenditures per capita 2007,Full Service Expenditures per capita 2012
20001,KS,Allen,7,5,-28.57142857,0.522115313,0.387326671,-25.81587597,15,9,-40.0,1.118818528,0.6971880079999999,-37.68533581,610.8893781,608.8071732000001,529.137954,562.2985113
20003,KS,Anderson,3,4,33.33333333,0.370324651,0.507421033,37.02059284,12,8,-33.33333333,1.481298605,1.014842065,-31.48970358,610.8893781,608.8071732000001,529.137954,562.2985113
20005,KS,Atchison,10,12,20.0,0.589448865,0.7267001759999999,23.28468479,11,12,9.090909091,0.648393752,0.7267001759999999,12.07698618,610.8893781,608.8071732000001,529.137954,562.2985113
20007,KS,Barber,3,4,33.33333333,0.6145022529999999,0.816826629,32.92492002,8,5,-37.5,1.638672675,1.021033286,-37.69144374,610.8893781,608.8071732000001,529.137954,562.2985113
20009,KS,Barton,14,19,35.71428571,0.5086100410000001,0.69381048,36.41305198,28,23,-17.85714286,1.017220083,0.839875844,-17.43420538,610.8893781,608.8071732000001,529.137954,562.2985113
20011,KS,Bourbon,12,9,-25.0,0.7917134,0.609260764,-23.04528838,10,11,10.0,0.659761166,0.7446520440000001,12.86691037,610.8893781,608.8071732000001,529.137954,562.2985113
20013,KS,Brown,7,5,-28.57142857,0.7019655029999999,0.50942435,-27.42886253,11,11,0.0,1.103088648,1.120733571,1.5995924609999999,610.8893781,608.8071732000001,529.137954,562.2985113
20015,KS,Butler,43,51,18.60465116,0.655317982,0.7700786690000001,17.51221398,37,32,-13.51351351,0.563878263,0.483186616,-14.31011848,610.8893781,608.8071732000001,529.137954,562.2985113
20017,KS,Chase,0,0,0.0,0.0,0.0,0.0,4,3,-25.0,1.4393666790000001,1.114413076,-22.57615156,610.8893781,608.8071732000001,529.137954,562.2985113
20019,KS,Chautauqua,1,0,-100.0,0.270929287,0.0,-100.0,10,5,-50.0,2.709292875,1.43636886,-46.983625399999994,610.8893781,608.8071732000001,529.137954,562.2985113
20021,KS,Cherokee,9,11,22.22222222,0.41555083600000003,0.529176889,27.34347856,13,15,15.38461539,0.6002400960000001,0.7216048490000001,20.21936787,610.8893781,608.8071732000001,529.137954,562.2985113
20023,KS,Cheyenne,0,1,,0.0,0.37133308600000003,,3,4,33.33333333,1.093693037,1.485332343,35.80888724,610.8893781,608.8071732000001,529.137954,562.2985113
20025,KS,Clark,1,1,0.0,0.44603033,0.46641791,4.570895522,3,3,0.0,1.33809099,1.399253731,4.570895522,610.8893781,608.8071732000001,529.137954,562.2985113
20027,KS,Clay,3,4,33.33333333,0.352941176,0.480942648,36.26708348,11,11,0.0,1.294117647,1.322592281,2.200312613,610.8893781,608.8071732000001,529.137954,562.2985113
20029,KS,Cloud,6,5,-16.66666667,0.628601362,0.532765051,-15.24595987,11,8,-27.27272727,1.15243583,0.8524240809999999,-26.032837699999998,610.8893781,608.8071732000001,529.137954,562.2985113
20031,KS,Coffey,7,6,-14.28571429,0.817184217,0.711490573,-12.9338822,6,8,33.33333333,0.7004436140000001,0.948654097,35.43618325,610.8893781,608.8071732000001,529.137954,562.2985113
20033,KS,Comanche,0,1,,0.0,0.511770727,,4,3,-25.0,2.1299254530000002,1.53531218,-27.91709314,610.8893781,608.8071732000001,529.137954,562.2985113
20035,KS,Cowley,17,16,-5.882352941000001,0.469678132,0.444901705,-5.275192968,31,19,-38.70967742,0.856471888,0.528320774,-38.31428897,610.8893781,608.8071732000001,529.137954,562.2985113
20037,KS,Crawford,20,20,0.0,0.513267977,0.509035378,-0.824637312,32,38,18.75,0.8212287640000001,0.9671672179999999,17.77074319,610.8893781,608.8071732000001,529.137954,562.2985113
20039,KS,Decatur,1,1,0.0,0.33557047,0.343878955,2.475928473,2,2,0.0,0.67114094,0.6877579090000001,2.475928473,610.8893781,608.8071732000001,529.137954,562.2985113
20041,KS,Dickinson,11,11,0.0,0.557526609,0.567185728,1.7324945859999998,14,15,7.142857143,0.709579321,0.773435083,8.999101342000001,610.8893781,608.8071732000001,529.137954,562.2985113
20043,KS,Doniphan,1,1,0.0,0.126470216,0.127000254,0.419100838,5,5,0.0,0.632351081,0.63500127,0.419100838,610.8893781,608.8071732000001,529.137954,562.2985113
20045,KS,Douglas,92,99,7.608695652000001,0.836067213,0.849165845,1.566696066,86,104,20.93023256,0.78154109,0.8920530090000001,14.14025698,610.8893781,608.8071732000001,529.137954,562.2985113
20047,KS,Edwards,0,1,,0.0,0.330033003,,4,3,-25.0,1.329787234,0.99009901,-25.54455446,610.8893781,608.8071732000001,529.137954,562.2985113
20049,KS,Elk,2,0,-100.0,0.686341798,0.0,-100.0,2,6,200.0,0.686341798,2.227171492,224.4988864,610.8893781,608.8071732000001,529.137954,562.2985113
20051,KS,Ellis,28,32,14.28571429,0.987549818,1.102953848,11.6858945,22,28,27.27272727,0.775932,0.965084617,24.37747342,610.8893781,608.8071732000001,529.137954,562.2985113
20053,KS,Ellsworth,2,3,50.0,0.310945274,0.46933667100000004,50.93867334,7,6,-14.28571429,1.088308458,0.9386733420000001,-13.74932952,610.8893781,608.8071732000001,529.137954,562.2985113
20055,KS,Finney,22,23,4.545454545,0.606060606,0.618545611,2.060025818,19,26,36.84210526,0.523415978,0.6992254729999999,33.58886675,610.8893781,608.8071732000001,529.137954,562.2985113
20057,KS,Ford,13,16,23.07692308,0.39206224700000003,0.45983618299999995,17.28652437,25,28,12.0,0.75396586,0.8047133209999999,6.730737175,610.8893781,608.8071732000001,529.137954,562.2985113
