FIPS,State,County,Fast Food Restaurant Count 2009,Fast Food Restaurant Count 2014,% Cng Fast Food Restautant Count 09_14,Fast Food Restaurant Count 2009 (per thou),Fast Food Restaurant Count 2014 (per thou),% Cng Fast Food Restaurant Count 09_14 (per thou),Full Service Restaurant Count 2009,Full Service Restaurant Count 2014,% Cng Full Service Restaurant Count 09_14,Full Service Restaurant Count 2009 (per thou),Full Service Restaurant Count 2014 (per thou),% Cng Full Service Restaurant Count 09_14 (per thou),Fast Food Expenditures per capita 2007,Fast Food Expenditures per capita 2012,Full Service Expenditures per capita 2007,Full Service Expenditures per capita 2012
1001,AL,Autauga,30,36,20.0,0.55417013,0.649878148,17.27051178,34,29,-14.70588235,0.628059481,0.523512952,-16.64595977,649.511367,674.8027204,484.38150700000006,512.2809873
1003,AL,Baldwin,112,132,17.85714286,0.624282354,0.659633903,5.662750031,202,221,9.405940594,1.125937817,1.104387065,-1.914026824,649.511367,674.8027204,484.38150700000006,512.2809873
1005,AL,Barbour,21,22,4.7619047619999995,0.759301443,0.818239298,7.762115521,12,15,25.0,0.43388653899999996,0.55789043,28.57979693,649.511367,674.8027204,484.38150700000006,512.2809873
1007,AL,Bibb,7,5,-28.57142857,0.305130552,0.22216297899999998,-27.19084435,6,5,-16.66666667,0.261540473,0.22216297899999998,-15.05598507,649.511367,674.8027204,484.38150700000006,512.2809873
1009,AL,Blount,24,21,-12.5,0.418548682,0.363831667,-13.07303488,19,15,-21.05263158,0.33135104,0.259879762,-21.56965553,649.511367,674.8027204,484.38150700000006,512.2809873
1011,AL,Bullock,4,3,-25.0,0.364066624,0.2787068,-23.44620959,2,1,-50.0,0.182033312,0.092902267,-48.96413973,649.511367,674.8027204,484.38150700000006,512.2809873
1013,AL,Butler,17,17,0.0,0.814683472,0.837603469,2.813362239,19,10,-47.36842105,0.910528586,0.492707923,-45.88770409,649.511367,674.8027204,484.38150700000006,512.2809873
1015,AL,Calhoun,95,103,8.421052632,0.802615682,0.888574485,10.70983344,67,77,14.92537313,0.566055271,0.66427413,17.35146089,649.511367,674.8027204,484.38150700000006,512.2809873
1017,AL,Chambers,22,26,18.18181818,0.63983248,0.763000352,19.25001868,19,16,-15.78947368,0.552582597,0.469538678,-15.02832677,649.511367,674.8027204,484.38150700000006,512.2809873
1019,AL,Cherokee,16,15,-6.25,0.618859751,0.576103238,-6.908918077999999,10,11,10.0,0.386787344,0.42247570799999995,9.226869455,649.511367,674.8027204,484.38150700000006,512.2809873
1021,AL,Chilton,23,20,-13.04347826,0.528930181,0.455259384,-13.92826498,17,18,5.882352941000001,0.390948395,0.409733446,4.804994999,649.511367,674.8027204,484.38150700000006,512.2809873
1023,AL,Choctaw,4,6,50.0,0.286204923,0.45034902,57.35194776,7,5,-28.57142857,0.500858615,0.37529085,-25.07050107,649.511367,674.8027204,484.38150700000006,512.2809873
1025,AL,Clarke,23,26,13.04347826,0.883324372,1.042293045,17.99663608,13,15,15.38461539,0.49927029700000003,0.60132291,20.44035339,649.511367,674.8027204,484.38150700000006,512.2809873
1027,AL,Clay,4,4,0.0,0.285591889,0.295159386,3.350059032,7,6,-14.28571429,0.499785806,0.442739079,-11.41423512,649.511367,674.8027204,484.38150700000006,512.2809873
1029,AL,Cleburne,7,8,14.28571429,0.469231801,0.530503979,13.05797651,4,2,-50.0,0.268132457,0.132625995,-50.53713528,649.511367,674.8027204,484.38150700000006,512.2809873
1031,AL,Coffee,35,34,-2.857142857,0.7079288029999999,0.667858335,-5.660239699,31,28,-9.677419355,0.627022654,0.550000982,-12.28371433,649.511367,674.8027204,484.38150700000006,512.2809873
1033,AL,Colbert,41,52,26.82926829,0.75331643,0.953376235,26.55720727,40,38,-5.0,0.7349428579999999,0.696698018,-5.20378417,649.511367,674.8027204,484.38150700000006,512.2809873
1035,AL,Conecuh,5,7,40.0,0.376676209,0.5524861879999999,46.67403315,4,4,0.0,0.301340967,0.31570639300000003,4.767166535,649.511367,674.8027204,484.38150700000006,512.2809873
1037,AL,Coosa,0,1,,0.0,0.091861106,,0,0,0.0,0.0,0.0,0.0,649.511367,674.8027204,484.38150700000006,512.2809873
1039,AL,Covington,25,24,-4.0,0.664045899,0.633011552,-4.673524292,24,18,-25.0,0.6374840629999999,0.474758664,-25.52619085,649.511367,674.8027204,484.38150700000006,512.2809873
1041,AL,Crenshaw,3,5,66.66666667,0.21391899600000003,0.357730557,67.22711121,9,6,-33.33333333,0.6417569879999999,0.429276669,-33.10915552,649.511367,674.8027204,484.38150700000006,512.2809873
1043,AL,Cullman,50,53,6.0,0.622269791,0.651994735,4.776857877,44,48,9.090909091,0.547597416,0.590485798,7.832100732000001,649.511367,674.8027204,484.38150700000006,512.2809873
1045,AL,Dale,33,34,3.03030303,0.661932844,0.687090777,3.800677538,31,30,-3.225806452,0.621815702,0.6062565679999999,-2.5022099030000002,649.511367,674.8027204,484.38150700000006,512.2809873
1047,AL,Dallas,20,19,-5.0,0.457048836,0.45551533200000005,-0.33552300399999996,16,15,-6.25,0.365639069,0.359617367,-1.6468977009999999,649.511367,674.8027204,484.38150700000006,512.2809873
1049,AL,DeKalb,41,43,4.87804878,0.5785730410000001,0.605079856,4.58141207,35,31,-11.42857143,0.493903816,0.43622036200000003,-11.67908655,649.511367,674.8027204,484.38150700000006,512.2809873
1051,AL,Elmore,29,45,55.17241379,0.36880659299999996,0.555713351,50.67880066,34,38,11.76470588,0.43239393600000003,0.469269052,8.528129629,649.511367,674.8027204,484.38150700000006,512.2809873
1053,AL,Escambia,22,27,22.72727273,0.575178436,0.715554024,24.40557217,20,20,0.0,0.522889487,0.530040018,1.3675032459999998,649.511367,674.8027204,484.38150700000006,512.2809873
1055,AL,Etowah,82,79,-3.658536585,0.786653748,0.7630564759999999,-2.9997024569999997,54,57,5.555555556,0.518040273,0.550559736,6.2774005420000005,649.511367,674.8027204,484.38150700000006,512.2809873
1057,AL,Fayette,12,9,-25.0,0.6932409009999999,0.53336494,-23.06210738,5,9,80.0,0.288850376,0.53336494,84.65094228,649.511367,674.8027204,484.38150700000006,512.2809873
