FIPS,State,County,Grocery Store Count 2009,Grocery Store Count 2014,% Chg Grocery Store Count 09_14,Groc Store Count 2009 (per thou),Groc Store Count 2014 (per thou),% Chg Grocery Store Count 09_14 (per thou)
20001,KS,Allen,3,2,-33.33333333,0.223763706,0.154930669,-30.76148424
20003,KS,Anderson,3,3,0.0,0.370324651,0.38056577399999997,2.765444628
20005,KS,Atchison,4,3,-25.0,0.235779546,0.18167504399999998,-22.947072
20007,KS,Barber,5,3,-40.0,1.024170422,0.612619971,-40.18378599
20009,KS,Barton,4,4,0.0,0.145317155,0.146065364,0.514880409
20011,KS,Bourbon,2,2,0.0,0.131952233,0.135391281,2.606282155
20013,KS,Brown,2,3,50.0,0.200561572,0.30565461,52.39938869
20015,KS,Butler,8,5,-37.5,0.121919624,0.075497909,-38.07567155
20017,KS,Chase,1,1,0.0,0.35984167,0.371471025,3.23179792
20019,KS,Chautauqua,1,1,0.0,0.270929287,0.287273772,6.03274921
20021,KS,Cherokee,3,4,33.33333333,0.138516945,0.19242796,38.92015843
20023,KS,Cheyenne,4,4,0.0,1.458257382,1.485332343,1.856665429
20025,KS,Clark,2,1,-50.0,0.89206066,0.46641791,-47.71455224
20027,KS,Clay,1,2,100.0,0.117647059,0.240471324,104.4006252
20029,KS,Cloud,2,2,0.0,0.209533787,0.21310602,1.7048481619999998
20031,KS,Coffey,3,2,-33.33333333,0.35022180700000005,0.237163524,-32.28190838
20033,KS,Comanche,2,2,0.0,1.0649627259999999,1.023541453,-3.889457523
20035,KS,Cowley,4,5,25.0,0.110512502,0.13903178300000002,25.80638434
20037,KS,Crawford,5,7,40.0,0.12831699400000002,0.17816238199999998,38.84550776
20039,KS,Decatur,1,1,0.0,0.33557047,0.343878955,2.475928473
20041,KS,Dickinson,4,4,0.0,0.20273694899999997,0.206249355,1.7324945859999998
20043,KS,Doniphan,6,2,-66.66666667,0.758821298,0.254000508,-66.52696639
20045,KS,Douglas,17,16,-5.882352941000001,0.154490681,0.137238924,-11.16685882
20047,KS,Edwards,1,1,0.0,0.332446809,0.330033003,-0.726072607
20049,KS,Elk,0,1,,0.0,0.371195249,
20051,KS,Ellis,4,5,25.0,0.141078545,0.17233653899999998,22.15644711
20053,KS,Ellsworth,0,1,,0.0,0.15644555699999999,
20055,KS,Finney,5,5,0.0,0.137741047,0.134466437,-2.377366609
20057,KS,Ford,5,7,40.0,0.150793172,0.20117833,33.41342147
20059,KS,Franklin,2,3,50.0,0.077309625,0.11713716800000001,51.51692632
20061,KS,Geary,3,2,-33.33333333,0.09512636,0.05447659999999999,-42.73236547
20063,KS,Gove,3,2,-33.33333333,1.115656378,0.733406674,-34.26231512
20065,KS,Graham,1,1,0.0,0.385802469,0.38971161299999996,1.013250195
20067,KS,Grant,2,1,-50.0,0.258698745,0.127942682,-50.5437564
20069,KS,Gray,2,2,0.0,0.33783783799999995,0.328839198,-2.663597501
20071,KS,Greeley,1,1,0.0,0.826446281,0.7686395079999999,-6.994619523
20073,KS,Greenwood,5,3,-40.0,0.743604997,0.474083439,-36.24525917
20075,KS,Hamilton,1,1,0.0,0.37467216200000003,0.384172109,2.53553592
