State,County,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,PCT_OBESE_ADULTS09,PCT_OBESE_ADULTS14
KS,Allen,31.4,34.2,31.96,34.760000000000005
KS,Anderson,29.6,33.3,30.34,34.04
KS,Atchison,31.6,33.1,31.900000000000002,33.4
KS,Barber,30.8,36.7,31.98,37.88
KS,Barton,31.3,35.4,32.12,36.22
KS,Bourbon,30.6,33.9,31.26,34.559999999999995
KS,Brown,30.6,29.6,30.400000000000002,29.400000000000002
KS,Butler,30.5,31.9,30.78,32.18
KS,Chase,30.7,28.3,30.22,27.82
KS,Chautauqua,29.9,34.1,30.74,34.940000000000005
KS,Cherokee,30.9,37.0,32.12,38.22
KS,Cheyenne,29.2,33.5,30.06,34.36
KS,Clark,29.7,31.2,30.0,31.5
KS,Clay,30.0,36.2,31.240000000000002,37.440000000000005
KS,Cloud,29.9,29.9,29.9,29.9
KS,Coffey,30.7,30.5,30.66,30.46
KS,Comanche,29.9,33.6,30.64,34.34
KS,Cowley,30.4,36.0,31.52,37.12
KS,Crawford,31.0,33.0,31.4,33.4
KS,Decatur,30.1,36.1,31.3,37.300000000000004
KS,Dickinson,30.6,31.9,30.86,32.16
KS,Doniphan,30.0,32.1,30.42,32.52
KS,Douglas,26.6,24.2,26.12,23.72
KS,Edwards,30.0,32.9,30.58,33.48
KS,Elk,29.9,32.5,30.419999999999998,33.02
KS,Ellis,29.6,31.6,30.0,32.0
KS,Ellsworth,29.4,33.3,30.18,34.08
KS,Finney,32.1,35.2,32.72,35.82
KS,Ford,31.2,30.6,31.08,30.48
KS,Franklin,31.4,33.8,31.88,34.279999999999994
KS,Geary,28.2,32.7,29.1,33.6
KS,Gove,29.5,30.2,29.64,30.34
KS,Graham,29.3,28.9,29.22,28.819999999999997
KS,Grant,30.7,35.6,31.68,36.58
KS,Gray,30.2,36.0,31.36,37.16
KS,Greeley,31.1,32.6,31.400000000000002,32.9
KS,Greenwood,29.8,32.7,30.380000000000003,33.28
KS,Hamilton,29.8,37.1,31.26,38.56
KS,Harper,29.8,34.2,30.68,35.080000000000005
KS,Harvey,28.6,31.0,29.080000000000002,31.48
KS,Haskell,30.3,33.9,31.02,34.62
KS,Hodgeman,31.3,32.0,31.44,32.14
KS,Jackson,30.4,33.4,31.0,34.0
KS,Jefferson,32.1,29.9,31.66,29.459999999999997
KS,Jewell,29.6,29.6,29.6,29.6
KS,Johnson,23.4,24.8,23.68,25.080000000000002
KS,Kearny,30.1,28.7,29.82,28.419999999999998
KS,Kingman,29.7,32.2,30.2,32.7
KS,Kiowa,29.7,32.8,30.32,33.419999999999995
KS,Labette,30.9,34.0,31.52,34.62
KS,Lane,29.8,30.8,30.0,31.0
KS,Leavenworth,30.8,32.8,31.2,33.199999999999996
KS,Lincoln,29.8,31.2,30.080000000000002,31.48
KS,Linn,29.7,31.6,30.08,31.98
KS,Logan,30.4,31.1,30.54,31.240000000000002
KS,Lyon,29.7,34.7,30.7,35.7
KS,McPherson,28.8,29.2,28.88,29.279999999999998
KS,Marion,30.4,30.9,30.5,31.0
KS,Marshall,31.2,32.6,31.48,32.88
KS,Meade,30.2,27.0,29.56,26.36
KS,Miami,29.2,34.1,30.18,35.08
KS,Mitchell,29.3,32.1,29.86,32.660000000000004
KS,Montgomery,30.4,35.1,31.34,36.04
KS,Morris,30.1,35.1,31.1,36.1
KS,Morton,29.3,31.9,29.82,32.42
KS,Nemaha,28.6,30.4,28.96,30.759999999999998
KS,Neosho,31.5,33.5,31.9,33.9
KS,Ness,28.8,31.1,29.26,31.560000000000002
KS,Norton,29.6,32.4,30.16,32.96
