FIPS ,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016"
01001,AL,Autauga ,54571,55255,55027,54792,54977,55035,55416
01003,AL,Baldwin ,182265,186653,190403,195147,199745,203690,208563
01005,AL,Barbour ,27457,27326,27132,26938,26763,26270,25965
01007,AL,Bibb ,22915,22736,22645,22501,22511,22561,22643
01009,AL,Blount ,57322,57707,57772,57746,57621,57676,57704
01011,AL,Bullock ,10914,10722,10654,10576,10712,10455,10362
01013,AL,Butler ,20947,20848,20665,20330,20283,20126,19998
01015,AL,Calhoun ,118572,117736,117208,116475,115837,115285,114611
01017,AL,Chambers ,34215,34006,34084,34123,33996,34043,33843
01019,AL,Cherokee ,25989,26073,26017,26074,25944,25726,25725
01021,AL,Chilton ,43643,43758,43693,43769,43874,43809,43941
01023,AL,Choctaw ,13859,13610,13549,13384,13310,13201,12993
01025,AL,Clarke ,25833,25549,25148,25105,24862,24726,24392
01027,AL,Clay ,13932,13676,13461,13464,13503,13495,13492
01029,AL,Cleburne ,14972,14976,14928,15031,15076,14996,14924
01031,AL,Coffee ,49948,50484,51180,50729,50757,51063,51226
01033,AL,Colbert ,54428,54460,54493,54456,54427,54295,54216
01035,AL,Conecuh ,13228,13193,13007,12866,12621,12597,12395
01037,AL,Coosa ,11539,11369,11201,11058,10794,10687,10581
01039,AL,Covington ,37765,38066,37842,37890,37795,37661,37458
01041,AL,Crenshaw ,13906,13903,13920,13874,13898,13876,13913
01043,AL,Cullman ,80406,80457,80351,80731,81167,81858,82471
01045,AL,Dale ,50251,50119,50296,49753,49389,49370,49226
01047,AL,Dallas ,43820,43207,42748,41950,41532,40893,40008
01049,AL,DeKalb ,71109,71389,70961,70882,70947,70996,70900
01051,AL,Elmore ,79303,80030,80291,80661,80794,81238,81799
01053,AL,Escambia ,38319,38227,38063,37877,37878,37827,37728
01055,AL,Etowah ,104430,104236,104215,103790,103371,102873,102564
01057,AL,Fayette ,17241,17063,16966,16858,16821,16723,16546
01059,AL,Franklin ,31704,31734,31652,31505,31540,31542,31628
01061,AL,Geneva ,26790,26843,27012,26754,26688,26755,26614
01063,AL,Greene ,9045,8926,8837,8702,8525,8450,8422
01065,AL,Hale ,15760,15377,15393,15293,15081,15075,14952
01067,AL,Henry ,17302,17405,17237,17188,17156,17191,17164
01069,AL,Houston ,101547,102480,103382,103614,104177,104225,104056
01071,AL,Jackson ,53227,53275,53087,52939,52580,52298,52138
01073,AL,Jefferson ,658466,657669,657639,658578,659733,660007,659521
01075,AL,Lamar ,14564,14301,14257,14192,14062,13902,13918
01077,AL,Lauderdale ,92709,92593,92694,92713,93005,92477,92318
01079,AL,Lawrence ,34339,34052,33788,33570,33432,33133,33244
01081,AL,Lee ,140247,144123,148289,151411,154277,156767,158991
01083,AL,Limestone ,82782,85571,87368,88904,90640,91622,92753
01085,AL,Lowndes ,11299,11117,10835,10685,10524,10422,10358
01087,AL,Macon ,21452,21317,20632,20016,19594,19215,18963
01089,AL,Madison ,334811,339594,342773,346704,350121,353302,356967
01091,AL,Marengo ,21027,20728,20451,20208,20086,19912,19673
01093,AL,Marion ,30776,30725,30520,30283,30250,30145,29998
01095,AL,Marshall ,93019,93885,94182,94318,94320,94693,95157
01097,AL,Mobile ,412992,413178,413760,413884,414342,414634,414836
01099,AL,Monroe ,23068,22795,22593,22154,21902,21697,21530
01101,AL,Montgomery ,229363,229174,228708,227841,227193,226868,226349
01103,AL,Morgan ,119490,119988,120123,119652,119602,119387,119012
01105,AL,Perry ,10591,10518,10184,9995,9842,9683,9574
01107,AL,Pickens ,19746,19366,19359,19370,20332,20827,20324
01109,AL,Pike ,32899,32999,33113,33592,33020,33376,33286
01111,AL,Randolph ,22913,22807,22623,22629,22468,22703,22652
01113,AL,Russell ,52947,54891,57626,59240,59282,58858,58172
01115,AL,St. Clair ,83593,84351,85168,86225,86482,86986,88019
01117,AL,Shelby ,195085,197975,200789,203825,205990,208527,210622
01119,AL,Sumter ,13763,13512,13448,13409,13283,13244,13040
01121,AL,Talladega ,82291,81847,81941,81277,81216,80749,80103
01123,AL,Tallapoosa ,41616,41459,41144,41139,41027,40755,40727
01125,AL,Tuscaloosa ,194656,196696,198581,200681,202671,204321,206102
01127,AL,Walker ,67023,66661,66211,65934,65564,65291,64967
01129,AL,Washington ,17581,17336,17115,16881,16891,16901,16756
01131,AL,Wilcox ,11670,11482,11355,11194,11028,11030,10986
01133,AL,Winston ,24484,24334,24171,24150,24083,23854,23805
02013,AK,Aleutians East ,3141,3251,3285,3302,3296,3317,3296
02016,AK,Aleutians West ,5561,5586,5688,5715,5780,5739,5647
02020,AK,Anchorage Municipality,291826,296397,298527,301143,300429,298312,298192
02050,AK,Bethel ,17013,17466,17695,17865,17959,17940,17968
02060,AK,Bristol Bay ,997,1037,983,954,942,892,898
02068,AK,Denali Borough,1826,1875,1913,1940,1907,1913,1953
02070,AK,Dillingham ,4847,4963,4963,4994,4989,4999,4954
02090,AK,Fairbanks North Star Borough,97581,98100,100330,100879,99295,99639,100605
02100,AK,Haines ,2508,2572,2572,2551,2537,2484,2496
02105,AK,Hoonah-Angoon Census Area,2150,2111,2131,2128,2081,2118,2078
02110,AK,Juneau ,31275,32175,32434,32604,32511,32603,32468
02122,AK,Kenai Peninsula ,55400,56369,56952,57059,57626,58044,58506
02130,AK,Ketchikan Gateway Borough,13477,13639,13711,13673,13758,13689,13746
02150,AK,Kodiak Island ,13592,13807,14051,14066,13953,13789,13732
02158,AK,Kusilvak ,7459,7657,7792,7950,8063,8109,8049
02164,AK,Lake and Peninsula ,1631,1652,1644,1654,1628,1567,1562
02170,AK,Matanuska-Susitna Borough,88995,91831,93791,95923,98196,101120,104365
02180,AK,Nome,9492,9834,9873,9897,9834,9875,9917
02185,AK,North Slope ,9430,9536,9662,9741,9708,9690,9606
02188,AK,Northwest Arctic ,7523,7722,7721,7714,7744,7764,7673
02195,AK,Petersburg ,3815,3246,3263,3245,3175,3149,3149
02198,AK,Prince of Wales-Hyder ,5559,6378,6375,6394,6393,6360,6347
02220,AK,Sitka ,8881,8907,9048,9001,8883,8844,8830
02230,AK,Skagway ,968,958,990,1004,1031,1058,1088
02240,AK,Southeast Fairbanks ,7029,7144,7179,7001,6968,6826,6876
02261,AK,Valdez-Cordova ,9636,9737,9729,9764,9453,9308,9355
02275,AK,Wrangell ,2369,2381,2402,2417,2376,2400,2411
02282,AK,Yakutat ,662,654,657,643,642,620,601
02290,AK,Yukon-Koyukuk ,5588,5728,5728,5658,5548,5541,5526
04001,AZ,Apache ,71518,72391,72968,72021,72034,71594,73112
04003,AZ,Cochise ,131346,132960,131843,129554,127321,126395,125770
04005,AZ,Coconino ,134421,134186,135999,136641,137695,139076,140908
04007,AZ,Gila ,53597,53486,53036,53039,53124,53138,53556
04009,AZ,Graham ,37220,37083,36958,37401,38013,37673,37599
04011,AZ,Greenlee ,8437,8585,8763,8905,9315,9525,9613
04012,AZ,La Paz ,20489,20496,20365,20379,20313,20147,20317
04013,AZ,Maricopa ,3817117,3870806,3942959,4011219,4083931,4161637,4242997
04015,AZ,Mohave ,200186,202635,203126,202622,202985,204165,205249
04017,AZ,Navajo ,107449,107435,107037,107443,108178,108363,110026
04019,AZ,Pima ,980263,987816,992490,996634,1003157,1008205,1016206
04021,AZ,Pinal ,375770,378007,382259,384978,396024,406220,418540
04023,AZ,Santa Cruz ,47420,47600,47321,46903,46387,46137,45985
04025,AZ,Yavapai ,211033,211138,212350,215027,218405,221584,225562
04027,AZ,Yuma ,195751,202539,202160,201851,203111,203706,205631
05001,AR,Arkansas ,19019,18880,18978,18777,18502,18373,18214
05003,AR,Ashley ,21853,21656,21491,21234,20920,20810,20492
05005,AR,Baxter ,41513,41280,41068,40962,40797,41070,41062
05007,AR,Benton ,221339,228788,234243,238778,243991,250851,258291
05009,AR,Boone ,36903,37055,37356,37412,37206,37229,37304
05011,AR,Bradley ,11508,11445,11273,11133,11024,11053,10996
05013,AR,Calhoun ,5368,5288,5306,5214,5175,5209,5144
05015,AR,Carroll ,27446,27443,27574,27745,27742,27744,27646
05017,AR,Chicot ,11800,11683,11473,11344,11196,10985,10945
05019,AR,Clark ,22995,22943,22807,22650,22663,22642,22657
05021,AR,Clay ,16083,15827,15568,15312,15143,15067,14920
05023,AR,Cleburne ,25970,25942,25824,25710,25670,25469,25264
05025,AR,Cleveland ,8689,8665,8615,8539,8410,8299,8241
05027,AR,Columbia ,24552,24696,24429,24294,24078,24140,23901
05029,AR,Conway ,21273,21146,21205,21145,21019,20994,20937
05031,AR,Craighead ,96443,98371,99948,101654,102621,104362,105835
05033,AR,Crawford ,61948,61829,61940,61696,61840,61894,62267
05035,AR,Crittenden ,50902,50520,50065,49730,49538,48985,49235
05037,AR,Cross ,17870,17746,17651,17492,17182,17282,17037
05039,AR,Dallas ,8116,8078,7979,7922,7735,7583,7469
05041,AR,Desha ,13008,12709,12575,12467,12245,12007,11876
05043,AR,Drew ,18509,18721,18762,18682,18669,18675,18651
05045,AR,Faulkner ,113237,116297,118534,119299,120683,121343,122227
05047,AR,Franklin ,18125,18002,17957,17934,17767,17709,17626
05049,AR,Fulton ,12245,12296,12246,12243,12130,12188,12123
05051,AR,Garland ,96024,96617,96794,96986,97183,97154,97477
05053,AR,Grant ,17853,17954,18026,18035,18059,18030,18082
05055,AR,Greene ,42090,42732,43166,43078,43717,44167,44598
05057,AR,Hempstead ,22609,22507,22346,22392,22289,22038,21974
05059,AR,Hot Spring ,32923,33115,33457,33495,33389,33483,33374
05061,AR,Howard ,13789,13821,13693,13527,13488,13350,13377
05063,AR,Independence ,36647,36831,36925,36873,37113,37073,37168
05065,AR,Izard ,13696,13579,13522,13386,13508,13454,13433
05067,AR,Jackson ,17997,17854,17649,17690,17565,17350,17221
05069,AR,Jefferson ,77435,76033,74618,73150,72376,71764,70016
05071,AR,Johnson ,25540,25692,25911,25896,25998,26146,26176
05073,AR,Lafayette ,7645,7540,7441,7245,7119,6981,6847
05075,AR,Lawrence ,17415,17293,17047,17067,16987,16741,16735
05077,AR,Lee ,10424,10277,10162,9991,9798,9645,9310
05079,AR,Lincoln ,14134,14322,14139,14023,13967,13841,13705
05081,AR,Little River ,13171,12965,12920,12739,12525,12445,12451
05083,AR,Logan ,22353,22283,22018,22111,21959,21796,21792
05085,AR,Lonoke ,68356,69447,70101,70807,71563,71697,72228
05087,AR,Madison ,15717,15681,15619,15684,15714,15717,16072
05089,AR,Marion ,16653,16655,16616,16446,16421,16214,16325
05091,AR,Miller ,43462,43750,43649,43440,43556,43899,43787
05093,AR,Mississippi ,46480,46036,45531,44687,44243,43699,42835
05095,AR,Monroe ,8149,8070,7843,7670,7612,7415,7169
05097,AR,Montgomery ,9487,9383,9320,9222,9107,8972,8879
05099,AR,Nevada ,8997,9009,8911,8791,8689,8553,8398
05101,AR,Newton ,8330,8278,8087,8078,7914,7923,7936
